question,correct_answer,support
Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,
Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.,
Was Alessandro Volta taught in public schools?,Volta was taught in public schools.,
Who did Alessandro Volta marry?,Teresa Peregrini.,
What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile.",
What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,
Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,
When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.,
How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,
Who made Volta a count?,Napoleon,
Where was Volta born?,"Como, Italy",
When did Volta retire?,1819,
"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como,
Was Volta buried where he died or was he buried someplace else?,where he died,
What happened in 1810?,Volta was made a count by Napoleon.,
Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there.",
Who became a professor of physics at the Royal School in Como?,Volta.,
When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.,
Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810.",
In what year did he become a professor of physics at the Royal School in Como?,1774,
Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin.",
Was he a member of the Royal Superior Council on Public Instruction?,"Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction.",
Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions.",
Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt,
What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.,
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.,
In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.,
Who was Avogadro's wife?,Felicita Mazz,
Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.,
"In 1820, Avogadro became a professor of physics where?",University of Turin,
Avogadro did not actually use what word?,atom,
The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,
What would a German call Avogadro's number?,Loschmidt number,
How do most ants travel?,by walking,
"In ant colonies, what are the fertile female ants called?",queens,
Who wrote about ants in A Tramp Abroad?,Mark Twain,
"Do the ants eat plants, meats, or both?",both,
What organs gives a bull ant its good sight?,compound eyes,
What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,
Are ants found in Antartica?,"No, there are no ants in antarctica.",
Do male ants take flight before females?,"Yes, male ants take flight before females.",
Do worker ants have wings?,"No, worker ants do not have wings.",
What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments.",
What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.,
Where are bullet ants located?,Bullet ants are located in Central and South America.,
Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees.",
What is the most common color of ants?,Most ants are red or black.,
Do all ants build nests?,"No, not all ants build nests.",
Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok,
Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids.",
